[2026/06/28 10:00:22.525] DEBUG:      Luminance STD: 86.61 / Contrast: 48.49 / Sharpness: 9.93 / Edge Density: 0.00
[2026/06/28 10:00:22.525] DEBUG:      Entropy: 0.00 / Face Size: 1.10 / Color Balance: 0.00
[2026/06/28 10:00:22.525] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.525] DEBUG:      = Final Score: 146.14
[2026/06/28 10:00:22.526] DEBUG:    Letterbox detected. Penalty applied. (row:2, col:35)
[2026/06/28 10:00:22.536] DEBUG:    Face detected. Face area ratio: 0.05 (row:2, col:35)
[2026/06/28 10:00:22.539] DEBUG:    Score: (row:2, col:35):
[2026/06/28 10:00:22.539] DEBUG:      Luminance STD: 90.42 / Contrast: 48.75 / Sharpness: 10.99 / Edge Density: 0.00
[2026/06/28 10:00:22.539] DEBUG:      Entropy: 0.00 / Face Size: 1.43 / Color Balance: 0.00
[2026/06/28 10:00:22.539] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -50.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.539] DEBUG:      = Final Score: 101.60
[2026/06/28 10:00:22.552] DEBUG:    Face detected. Face area ratio: 0.11 (row:2, col:36)
[2026/06/28 10:00:22.554] DEBUG:    Score: (row:2, col:36):
[2026/06/28 10:00:22.554] DEBUG:      Luminance STD: 58.28 / Contrast: 32.60 / Sharpness: 6.43 / Edge Density: 0.00
[2026/06/28 10:00:22.554] DEBUG:      Entropy: 0.00 / Face Size: 3.17 / Color Balance: 0.00
[2026/06/28 10:00:22.554] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.554] DEBUG:      = Final Score: 100.47
[2026/06/28 10:00:22.569] DEBUG:    Face detected. Face area ratio: 0.12 (row:2, col:37)
[2026/06/28 10:00:22.572] DEBUG:    Score: (row:2, col:37):
[2026/06/28 10:00:22.572] DEBUG:      Luminance STD: 59.65 / Contrast: 29.84 / Sharpness: 7.69 / Edge Density: 0.00
[2026/06/28 10:00:22.572] DEBUG:      Entropy: 1.43 / Face Size: 3.50 / Color Balance: 0.00
[2026/06/28 10:00:22.572] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.572] DEBUG:      = Final Score: 102.11
[2026/06/28 10:00:22.586] DEBUG:    Face detected. Face area ratio: 0.13 (row:2, col:38)
[2026/06/28 10:00:22.589] DEBUG:    Score: (row:2, col:38):
[2026/06/28 10:00:22.589] DEBUG:      Luminance STD: 63.76 / Contrast: 32.32 / Sharpness: 8.32 / Edge Density: 0.00
[2026/06/28 10:00:22.589] DEBUG:      Entropy: 0.01 / Face Size: 4.03 / Color Balance: 0.00
[2026/06/28 10:00:22.589] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.589] DEBUG:      = Final Score: 108.44
[2026/06/28 10:00:22.604] DEBUG:    Score: (row:2, col:39):
[2026/06/28 10:00:22.604] DEBUG:      Luminance STD: 52.21 / Contrast: 27.21 / Sharpness: 18.18 / Edge Density: 4.51
[2026/06/28 10:00:22.604] DEBUG:      Entropy: 7.39 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.604] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.604] DEBUG:      = Final Score: 109.49
[2026/06/28 10:00:22.617] DEBUG:    Face detected. Face area ratio: 0.00 (row:2, col:40)
[2026/06/28 10:00:22.619] DEBUG:    Score: (row:2, col:40):
[2026/06/28 10:00:22.619] DEBUG:      Luminance STD: 45.86 / Contrast: 18.92 / Sharpness: 14.32 / Edge Density: 0.00
[2026/06/28 10:00:22.619] DEBUG:      Entropy: 12.40 / Face Size: 0.14 / Color Balance: 0.00
[2026/06/28 10:00:22.619] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.619] DEBUG:      = Final Score: 91.64
[2026/06/28 10:00:22.621] DEBUG:    Border effect detected on edges: top(1.00/dark), left(1.00/dark) (row:2, col:41)
[2026/06/28 10:00:22.632] DEBUG:    Face detected. Face area ratio: 0.12 (row:2, col:41)
[2026/06/28 10:00:22.635] DEBUG:    Score: (row:2, col:41):
[2026/06/28 10:00:22.635] DEBUG:      Luminance STD: 29.11 / Contrast: 14.47 / Sharpness: 2.21 / Edge Density: 0.00
[2026/06/28 10:00:22.635] DEBUG:      Entropy: 21.17 / Face Size: 3.68 / Color Balance: 0.00
[2026/06/28 10:00:22.635] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -45.00
[2026/06/28 10:00:22.635] DEBUG:      = Final Score: 25.64
[2026/06/28 10:00:22.652] DEBUG:    Face detected. Face area ratio: 0.08 (row:2, col:42)
[2026/06/28 10:00:22.654] DEBUG:    Score: (row:2, col:42):
[2026/06/28 10:00:22.654] DEBUG:      Luminance STD: 73.46 / Contrast: 44.22 / Sharpness: 4.91 / Edge Density: 0.00
[2026/06/28 10:00:22.654] DEBUG:      Entropy: 0.54 / Face Size: 2.46 / Color Balance: 0.00
[2026/06/28 10:00:22.654] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.654] DEBUG:      = Final Score: 125.59
[2026/06/28 10:00:22.672] DEBUG:    Score: (row:2, col:43):
[2026/06/28 10:00:22.672] DEBUG:      Luminance STD: 79.07 / Contrast: 47.94 / Sharpness: 5.72 / Edge Density: 1.27
[2026/06/28 10:00:22.673] DEBUG:      Entropy: 0.00 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.673] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.673] DEBUG:      = Final Score: 133.99
[2026/06/28 10:00:22.684] DEBUG:    Face detected. Face area ratio: 0.02 (row:2, col:44)
[2026/06/28 10:00:22.686] DEBUG:    Score: (row:2, col:44):
[2026/06/28 10:00:22.687] DEBUG:      Luminance STD: 34.12 / Contrast: 19.87 / Sharpness: 0.80 / Edge Density: 0.00
[2026/06/28 10:00:22.687] DEBUG:      Entropy: 11.53 / Face Size: 0.73 / Color Balance: 0.00
[2026/06/28 10:00:22.687] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.687] DEBUG:      = Final Score: 67.05
[2026/06/28 10:00:22.698] DEBUG:    Face detected. Face area ratio: 0.02 (row:5, col:14)
[2026/06/28 10:00:22.701] DEBUG:    Score: (row:5, col:14):
[2026/06/28 10:00:22.701] DEBUG:      Luminance STD: 89.78 / Contrast: 48.82 / Sharpness: 28.73 / Edge Density: 11.97
[2026/06/28 10:00:22.701] DEBUG:      Entropy: 0.00 / Face Size: 0.56 / Color Balance: 0.00
[2026/06/28 10:00:22.701] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.701] DEBUG:      = Final Score: 179.86
[2026/06/28 10:00:22.715] DEBUG:    Score: (row:5, col:15):
[2026/06/28 10:00:22.715] DEBUG:      Luminance STD: 83.74 / Contrast: 43.49 / Sharpness: 16.26 / Edge Density: 2.71
[2026/06/28 10:00:22.715] DEBUG:      Entropy: 0.00 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.715] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.715] DEBUG:      = Final Score: 146.20
[2026/06/28 10:00:22.730] DEBUG:    Score: (row:5, col:16):
[2026/06/28 10:00:22.730] DEBUG:      Luminance STD: 86.32 / Contrast: 44.21 / Sharpness: 15.66 / Edge Density: 2.30
[2026/06/28 10:00:22.730] DEBUG:      Entropy: 0.00 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.730] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.730] DEBUG:      = Final Score: 148.49
[2026/06/28 10:00:22.744] DEBUG:    Face detected. Face area ratio: 0.21 (row:5, col:17)
[2026/06/28 10:00:22.746] DEBUG:    Score: (row:5, col:17):
[2026/06/28 10:00:22.746] DEBUG:      Luminance STD: 92.64 / Contrast: 45.72 / Sharpness: 15.20 / Edge Density: 2.21
[2026/06/28 10:00:22.746] DEBUG:      Entropy: 0.00 / Face Size: 6.15 / Color Balance: 0.00
[2026/06/28 10:00:22.746] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.746] DEBUG:      = Final Score: 161.92
[2026/06/28 10:00:22.760] DEBUG:    Score: (row:5, col:18):
